calle_nombre,calle_altura,comuna,total_arboles,maduros,medianos,jovenes,lat,long
Acassuso,6400,9,18,4,13,1,-34.648731,-58.514019
Acassuso,6600,9,13,1,6,6,-34.649903,-58.515249
Acassuso,6700,9,14,5,7,2,-34.650693,-58.516193
Acassuso,6800,9,7,1,3,3,-34.651289,-58.516861
Acassuso,6900,9,16,3,11,2,-34.651905,-58.517513
Acassuso,7000,9,10,0,7,3,-34.652566,-58.518232
Acassuso,7100,9,15,1,9,5,-34.653165,-58.518926
Acassuso,7200,9,1,0,0,1,-34.653704,-58.519591
Acassuso,7450,9,5,0,5,0,-34.656285,-58.521286
Acassuso,7500,9,13,1,9,3,-34.656461,-58.521492
Acassuso,7550,9,6,0,5,1,-34.656948,-58.521953
Acassuso,7600,9,4,0,3,1,-34.657068,-58.522603
Acevedo,0,15,16,6,7,3,-34.600951,-58.44421
Acevedo,100,15,29,16,9,4,-34.600312,-58.443381
Acevedo,1000,15,26,11,9,6,-34.594127,-58.434376
Acevedo,1049,15,1,1,0,0,-34.593623,-58.433578
Acevedo,1100,15,11,8,3,0,-34.593028,-58.432727
Acevedo,16,15,1,0,0,1,-34.594048,-58.434439
Acevedo,200,15,17,14,2,1,-34.59942,-58.442381
Acevedo,300,15,22,4,12,6,-34.59855,-58.441245
Acevedo,400,15,25,18,3,4,-34.597703,-58.440044
Acevedo,500,15,10,4,4,2,-34.597297,-58.439347
Acevedo,600,15,14,4,6,4,-34.596294,-58.437812
Acevedo,6000,15,1,0,1,0,-34.596466,-58.438027
Acevedo,700,15,17,5,9,3,-34.595577,-58.436725
Acevedo,800,15,15,10,4,1,-34.594876,-58.435654
Acevedo,90,15,1,1,0,0,-34.594162,-58.434618
Acevedo,900,15,19,8,8,3,-34.594279,-58.434705
Acevedo Eduardo,0.0,6,1,0,1,0,-34.615167,-58.430745
Acevedo Eduardo,200.0,6,28,13,9,6,-34.613019,-58.431096
Acevedo Eduardo,300.0,6,14,6,5,3,-34.611901,-58.43152
Acevedo Eduardo,400.0,6,13,7,5,1,-34.611118,-58.43186
Acevedo Eduardo,450.0,6,11,5,5,1,-34.610517,-58.432122
Acevedo Eduardo,500.0,6,30,9,15,6,-34.609632,-58.432516
Acevedo Eduardo,600.0,6,5,5,0,0,-34.608356,-58.433019
Acha Mariano Gral.,1000,15,18,10,6,2,-34.583015,-58.472056
Acha Mariano Gral.,1100,15,3,0,2,1,-34.581675,-58.47214
Acha Mariano Gral.,1200,15,17,7,8,2,-34.580953,-58.47211
Acha Mariano Gral.,1300,15,22,5,15,2,-34.579277,-58.472105
Acha Mariano Gral.,1350,15,2,0,1,1,-34.579764,-58.472184
Acha Mariano Gral.,1400,15,10,2,4,4,-34.579172,-58.4722
Acha Mariano Gral.,1500,15,3,0,0,3,-34.57837,-58.47221
Acha Mariano Gral.,1600,15,14,0,0,14,-34.577539,-58.472414
Acha Mariano Gral.,1700,15,22,2,11,9,-34.576677,-58.473169
